2023-03-22 07:14:21.521222	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&assay_term_name=ATAC-seq&status=released&limit=all
ID	Accession	Assay name	Assay title	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR409YCK/	ENCSR409YCK	ATAC-seq	ATAC-seq				Homo sapiens GM19043	GM19043	GEO:GSE172962		Stephen Montgomery, Stanford	ENCODE	released	/files/ENCFF423UPH/,/files/ENCFF061JSG/,/files/ENCFF134FBQ/,/files/ENCFF795UPB/,/files/ENCFF269FVB/,/files/ENCFF575ZRJ/,/files/ENCFF760ICS/,/files/ENCFF003NCK/,/files/ENCFF305XIR/,/files/ENCFF589OTG/,/files/ENCFF701KTT/		ENCBS539BEG	1	1		Homo sapiens	adult													/replicates/72a5179b-ecad-4e26-9086-18a3f7e0f428/				
/experiments/ENCSR357WQH/	ENCSR357WQH	ATAC-seq	ATAC-seq				Homo sapiens GM18508	GM18508	GEO:GSE172805		Stephen Montgomery, Stanford	ENCODE	released	/files/ENCFF037CGZ/,/files/ENCFF710FXY/,/files/ENCFF263MHO/,/files/ENCFF958SFC/,/files/ENCFF422WLU/,/files/ENCFF858FMZ/,/files/ENCFF085DFN/,/files/ENCFF761RSD/,/files/ENCFF932BSQ/,/files/ENCFF879GGI/,/files/ENCFF091WME/		ENCBS430CQD	1	1		Homo sapiens	adult													/replicates/48c944d4-6e7d-494e-8eb2-f5b93f22d3ce/				
/experiments/ENCSR580JBA/	ENCSR580JBA	ATAC-seq	ATAC-seq				Homo sapiens GM18868	GM18868	GEO:GSE172696		Stephen Montgomery, Stanford	ENCODE	released	/files/ENCFF497XOU/,/files/ENCFF452KIV/,/files/ENCFF321FGV/,/files/ENCFF138ZQZ/,/files/ENCFF562TGX/,/files/ENCFF304QRZ/,/files/ENCFF383EUC/,/files/ENCFF915GOP/,/files/ENCFF205XZU/,/files/ENCFF755FSW/,/files/ENCFF648VSL/		ENCBS303XQZ	1	1		Homo sapiens	adult													/replicates/f9446fca-d3f4-4343-a181-bc05fe3108fe/				
/experiments/ENCSR359HFH/	ENCSR359HFH	ATAC-seq	ATAC-seq				Homo sapiens HG03095	HG03095	GEO:GSE172814		Stephen Montgomery, Stanford	ENCODE	released	/files/ENCFF156LLT/,/files/ENCFF349RRX/,/files/ENCFF708ULG/,/files/ENCFF801THG/,/files/ENCFF130XRL/,/files/ENCFF966MMP/,/files/ENCFF471RVZ/,/files/ENCFF682ZZT/,/files/ENCFF669YFG/,/files/ENCFF099GAL/,/files/ENCFF480BAH/		ENCBS751KFE	1	1		Homo sapiens	adult													/replicates/4f5dfa68-e6b3-4ae2-957a-2472fe32088c/				
/experiments/ENCSR376YMU/	ENCSR376YMU	ATAC-seq	ATAC-seq				Homo sapiens HG03439	HG03439	GEO:GSE172867		Stephen Montgomery, Stanford	ENCODE	released	/files/ENCFF260SWB/,/files/ENCFF576QAR/,/files/ENCFF773JTV/,/files/ENCFF326QXM/,/files/ENCFF549MRF/,/files/ENCFF120TUR/,/files/ENCFF352WOI/,/files/ENCFF107CMG/,/files/ENCFF922FPA/,/files/ENCFF612NLR/,/files/ENCFF790YUH/		ENCBS038JHN	1	1		Homo sapiens	adult													/replicates/0c30868b-d575-491d-a7fc-a3828d1148a6/				
/experiments/ENCSR063UNG/	ENCSR063UNG	ATAC-seq	ATAC-seq				Homo sapiens HG03196	HG03196	GEO:GSE172646		Stephen Montgomery, Stanford	ENCODE	released	/files/ENCFF299HLD/,/files/ENCFF328SYS/,/files/ENCFF969HOI/,/files/ENCFF767FGV/,/files/ENCFF428MNI/,/files/ENCFF059MRU/,/files/ENCFF660SBK/,/files/ENCFF962LEY/,/files/ENCFF096XKK/,/files/ENCFF757TJE/,/files/ENCFF177ZIO/		ENCBS213IBL	1	1		Homo sapiens	adult													/replicates/2c7ec438-9cee-4ad1-a39f-43fec553873b/				
/experiments/ENCSR706GDQ/	ENCSR706GDQ	ATAC-seq	ATAC-seq				Homo sapiens GM19455	GM19455	GEO:GSE173023		Stephen Montgomery, Stanford	ENCODE	released	/files/ENCFF995LIP/,/files/ENCFF764HIM/,/files/ENCFF795EZW/,/files/ENCFF772BMP/,/files/ENCFF849QYB/,/files/ENCFF992RKN/,/files/ENCFF410RZI/,/files/ENCFF160DPC/,/files/ENCFF247XJC/,/files/ENCFF926ULQ/,/files/ENCFF049TUN/		ENCBS493SWN	1	1		Homo sapiens	adult													/replicates/706d8137-5b3f-4ed1-af33-8e19561ff87a/				
/experiments/ENCSR839IAD/	ENCSR839IAD	ATAC-seq	ATAC-seq				Homo sapiens GM19397	GM19397	GEO:GSE172768		Stephen Montgomery, Stanford	ENCODE	released	/files/ENCFF294TSO/,/files/ENCFF005DVQ/,/files/ENCFF890PTX/,/files/ENCFF593SBD/,/files/ENCFF896SKL/,/files/ENCFF169PJA/,/files/ENCFF410XGD/,/files/ENCFF597KPI/,/files/ENCFF398HLI/,/files/ENCFF259FJX/,/files/ENCFF672XXK/		ENCBS855ELP	1	1		Homo sapiens	adult													/replicates/f1c5f47a-eec5-4162-99ad-7c13768c081b/				
/experiments/ENCSR641KNU/	ENCSR641KNU	ATAC-seq	ATAC-seq				Homo sapiens GM21825	GM21825	GEO:GSE172841		Stephen Montgomery, Stanford	ENCODE	released	/files/ENCFF791QRI/,/files/ENCFF341CON/,/files/ENCFF656AZX/,/files/ENCFF512LHW/,/files/ENCFF213NYS/,/files/ENCFF738JSK/,/files/ENCFF135WJZ/,/files/ENCFF828UQL/,/files/ENCFF364QWE/,/files/ENCFF312JVA/,/files/ENCFF521KYH/		ENCBS657NWM	1	1		Homo sapiens	adult													/replicates/9f7fc474-b05c-4373-9927-e3f706f943da/				
/experiments/ENCSR624CTU/	ENCSR624CTU	ATAC-seq	ATAC-seq				Homo sapiens HG03520	HG03520	GEO:GSE172804		Stephen Montgomery, Stanford	ENCODE	released	/files/ENCFF135IWP/,/files/ENCFF887ODP/,/files/ENCFF999XCN/,/files/ENCFF614WUU/,/files/ENCFF324GVI/,/files/ENCFF052HOE/,/files/ENCFF054SQC/,/files/ENCFF598EDX/,/files/ENCFF149KQV/,/files/ENCFF797OZK/,/files/ENCFF194YBU/		ENCBS918VPJ	1	1		Homo sapiens	adult													/replicates/a8f15677-3cf1-4d19-b5a0-18b82bc6e219/				
